id,firstName,lastName,phoneNum,email,userRole,username,password
56842,Zak,Hibbert,7353379180,zhibbert@gmail.com,Cardowner,zhibbert,$2y$10$fnTWUSHP6Xx9LfAUgiOtdOUf.dW8epeC4oXdJkXB6e0ZqNMFqBcTq
86425,Hadi,Brown,2614885694,hbrown@gmail.com,Cardowner,hbrown,$2y$10$xUr7mnzyLklxbY16ZIE9P.D6XoeUoCGEWXb61YurvnO7MSZNVtg6G
36452,Aiyla,Summers,2168900335,asummers@gmail.com,Cardowner,asummers,$2y$10$loM213YETP6cEVzSZgmvhOa9cBbGHaQv6VAVq.XvkphmxRPT1xYim
13468,Coral,Wright,8516309204,cwright@gmail.com,Cardowner,cwright,$2y$10$joHVzj2fSCI5UGvqTpjjieDu3VQPk2xntsne6OurWTLkP1rc3jGNC
94562,Murphy,Rios,8615634251,mrios@gmail.com,Librarian,mrios,$2y$10$gfl2CzqGnFgs1kkauj/jYOigcpmoNgO0FkQodWszOBPnVeVlL0UOq
25846,Laurie,Jacobson,7414415460,ljacobson@gmail.com,Cardowner,$2y$10$jX9tMNrzG4BkXFmy2f5gBezJS7m0MxH73DHmpgd9U0IxikX797ElG
45789,Henley,Benitez,5393004274,hbenitez@gmail.com,Cardowner,hbenitez,$2y$10$p7qmprGugCA74g6cDjH8oeLXJimP2/Ffl7YmABSAqQoE5.Q7.3kb.
69852,Myla,Penn,4688796623,mpenn@gmail.com,Librarian,mpenn,$2y$10$mpRhY8XaTuXeIazwIefoiOMT/NJWTKmjq2QQakO4G6BpiVvTeL25O
78256,Deon,Jeffery,3883855600,djeffery@gmail.com,Cardowner,djeffery,$2y$10$bF7lZlMGu3/NdOF148qB5eE18g.11cXIb7JvXsIzPkBd9KARJH.Z2
59723,Nazia,Kirkland,9583006408,nkirkland@gmail.com,Librarian,nkirkland,$2y$10$NIqknns2KiYj0.UKIzjgFuRXw7AeYgSgwat2EhepY.5wZ00IZB/ou
